,precision,recall,f1-score,support
0,0.8888888888888888,0.8,0.8421052631578947,10.0
1,0.8591549295774648,0.8472222222222222,0.8531468531468531,72.0
2,0.9246231155778895,0.9064039408866995,0.9154228855721394,203.0
3,0.9118457300275482,0.9220055710306406,0.9168975069252078,359.0
4,0.9147982062780269,0.9336384439359268,0.9241223103057757,437.0
5,0.9666666666666667,0.9532871972318339,0.9599303135888502,578.0
6,0.9154929577464789,0.9219858156028369,0.9187279151943463,141.0
accuracy,0.9294444444444444,,,
macro avg,0.9116386421089949,0.8977918844157371,0.9043361496987238,1800.0
weighted avg,0.929657672155418,0.9294444444444444,0.929481379842127,1800.0
